"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",155.46364277571,1.21542251408567,0.193508935878369,6.28096324631557,3.36481689008932e-10,3.66344438908475e-08
"AT1G01020",48.1766206570764,-0.147931252854702,0.142906047923406,-1.03516439649909,0.300592142861723,0.406827459930373
"AT1G01030",53.5926175317063,-0.596807272633983,0.273641638051718,-2.18098121646672,0.0291848058228546,0.0592539997009473
"AT1G01040",357.177136493523,-0.10714292500842,0.0946700536252057,-1.13175096987473,0.257739146179129,0.358096660268019
"AT1G01050",182.317609619522,-0.220432635129229,0.0882043604803601,-2.49911267344102,0.0124504718283126,0.0289144406411419
"AT1G01060",986.694377558759,-0.250721323593588,0.0904907235316422,-2.77068536761027,0.00559384500442173,0.0147175320913799
"AT1G01070",6.66347756874573,-0.0638325361671748,0.413454212519176,-0.154388404409386,0.877303495984413,0.911796843866623
"AT1G01080",121.770585166885,-0.640775393932499,0.172208488592875,-3.72092804000726,0.00019849199757813,0.000901624666965066
"AT1G01090",522.871910493863,-0.461942610765261,0.107859223992372,-4.28282898454686,1.84532000921639e-05,0.000127916731239752
"AT1G01100",384.805006491832,-0.0634427837483325,0.0899799419987701,-0.705076957586833,0.480762345360757,0.585042267284973
"AT1G01110",6.32552182851878,-0.649995974106241,0.351207480224463,-1.85074638413401,0.064206047680537,0.114820793614101
"AT1G01120",1083.55182177615,-0.160294894655968,0.133511916608031,-1.20060365193145,0.229904983775512,0.327014355954064
"AT1G01130",3.4464094893736,0.419986947197953,0.457021126052978,0.918966155514806,0.358113274947167,0.466138627331664
"AT1G01140",1038.45296972079,-0.174731920389603,0.112469870327074,-1.55358870674842,0.120282554827675,0.193331067087848
"AT1G01160",78.9891961295794,0.0185752219130207,0.091160895104283,0.203763048747729,0.838538669820956,0.883264922469426
"AT1G01170",102.74750328593,-0.48336813598948,0.195798013041388,-2.46870807563969,0.0135601790627754,0.0310038481787042
"AT1G01180",46.1145229320732,0.299798719160219,0.169513152558738,1.76858677120252,0.076962859998613,0.133721625890269
"AT1G01190",7.81003266214063,-0.869112896868433,0.46661869494893,-1.86257624539359,0.0625219090272084,0.112386137194553
"AT1G01210",31.8692294660394,-0.1648809526258,0.160151353956013,-1.02953205547726,0.303229724555263,0.409287292867866
"AT1G01220",92.3893762869451,-0.226361722577924,0.128598647754665,-1.76021852896749,0.0783707615182764,0.135721112004014
"AT1G01225",6.79502724665073,-0.237294658058377,0.367606578451246,-0.645512545118527,0.51859509121333,0.620334168024185
"AT1G01230",120.53750215999,0.450072546794406,0.0946946593891042,4.75288204950439,2.00537348112693e-06,2.22648859408739e-05
"AT1G01240",119.905972872509,-0.00258732441258569,0.156610886240991,-0.016520718799869,0.986818973131006,0.991657716293172
"AT1G01250",8.28117567089688,-1.00614125295943,0.266577249305754,-3.77429527680894,0.000160460615834135,0.000754446404272775
"AT1G01260",168.560778406145,-0.0334606222687384,0.144251294559565,-0.231960637655988,0.816568586605362,0.86687944290727
"AT1G01290",41.1042050950806,-0.0892831826747644,0.129413895102377,-0.689904145178026,0.490254468923026,0.594144486478302
"AT1G01300",145.110827275171,-0.166145082181274,0.125730105764491,-1.32144231623001,0.186353924256689,0.276397220992041
"AT1G01320",986.679512587554,-0.98265575234142,0.178575417426436,-5.50274929496512,3.73913954966705e-08,1.12109829527022e-06
"AT1G01340",230.172506422317,0.696199622950701,0.212823407448001,3.27125493994736,0.00107071340310608,0.00368193470882807
"AT1G01350",100.443593376884,0.147589648191935,0.101389934160435,1.45566371468784,0.145485605280198,0.226092011682707
"AT1G01360",81.995218416531,-0.618162719231064,0.155701632075833,-3.97017494929016,7.18198765802425e-05,0.000389024331476313
"AT1G01370",4.44494250326486,0.214550978850331,0.421004079304346,0.509617339586942,0.610319573619473,0.70042604733192
"AT1G01390",26.6366377949936,-0.68981380783403,0.18137978280897,-3.8031460681621,0.000142870057911314,0.000685241301986532
"AT1G01420",58.4544995633177,-0.826187459886864,0.267444099323453,-3.08919681524793,0.00200698434983234,0.00624493535246721
"AT1G01430",98.818252471178,-1.03270561375101,0.219940261835921,-4.69539139914923,2.66096713907529e-06,2.78737507893515e-05
"AT1G01440",136.971209343522,0.444554437767863,0.120548332525936,3.68776928268349,0.000226228630137394,0.00100738822520281
"AT1G01470",1949.6468793312,0.173955578491887,0.151344156572237,1.14940399703412,0.250389432658336,0.349922496342415
"AT1G01480",80.5648747231224,1.32100489764366,0.253348926980171,5.21417206454973,1.846400255044e-07,3.65578825491733e-06
"AT1G01490",212.039344485662,-0.32989485746297,0.136811352694842,-2.41131200711684,0.0158952439764959,0.0355312652470883
"AT1G01500",61.8811175273727,-0.06466817440044,0.134968453660688,-0.479135476820506,0.631842252745467,0.718452483213188
"AT1G01510",95.4770837978383,-0.200245965809346,0.102261886097313,-1.95816812550075,0.0502102879715861,0.0937273056649197
"AT1G01520",33.2276540569105,-1.92985423055779,0.368378498288564,-5.23878087218344,1.61640826099847e-07,3.30103539350449e-06
"AT1G01540",267.200874821061,-0.453335174711746,0.11165807017546,-4.06003053786774,4.90662981711094e-05,0.000285673433870564
"AT1G01550",1613.51121507872,0.383940490798718,0.0864494876262216,4.44121187228717,8.94536641197983e-06,7.16781430067565e-05
"AT1G01560",1504.96355580837,1.65089847981004,0.323970823546641,5.09582456141259,3.47226577307296e-07,5.83258082244719e-06
