"gene","module"
"AT4G12480","green"
"AT1G35140","turquoise"
"AT4G30280","turquoise"
"AT4G25810","turquoise"
"AT5G57560","turquoise"
"AT4G34410","turquoise"
"AT4G08950","turquoise"
"AT4G12470","green"
"AT2G14610","yellow"
"AT3G01345","grey"
"AT4G12490","green"
"AT4G18960","blue"
"AT3G11340","yellow"
"AT1G76650","turquoise"
"AT5G50570","turquoise"
"AT1G72520","turquoise"
"AT5G22380","turquoise"
"AT1G12610","turquoise"
"AT1G15520","yellow"
"AT3G55840","turquoise"
"AT3G45970","turquoise"
"AT1G12940","green"
"AT1G33760","turquoise"
"AT1G61890","turquoise"
"AT2G26400","yellow"
"AT4G01360","turquoise"
"AT4G22470","green"
"AT4G12500","green"
"AT2G02990","green"
"AT1G22810","turquoise"
"AT5G42380","turquoise"
"AT5G24770","brown"
"AT4G37990","green"
"AT1G57990","turquoise"
"AT1G33960","yellow"
"AT4G01250","turquoise"
"AT5G62520","turquoise"
"AT4G29780","turquoise"
"AT1G56060","turquoise"
"AT2G35710","turquoise"
"AT2G34600","turquoise"
"AT1G01060","blue"
"AT2G27080","turquoise"
"AT1G14540","turquoise"
"AT4G24380","turquoise"
"AT5G64310","turquoise"
"AT1G30135","turquoise"
"AT3G02840","turquoise"
"AT5G43650","turquoise"
"AT3G28510","yellow"
"AT3G16860","turquoise"
"AT5G50670","blue"
"AT1G56660","turquoise"
"AT1G02660","turquoise"
"AT3G13610","yellow"
"AT4G10500","yellow"
"AT3G22600","red"
"AT2G45220","yellow"
"AT2G45760","turquoise"
"AT3G23250","turquoise"
"AT3G46280","yellow"
"AT2G44840","turquoise"
"AT1G16370","turquoise"
"AT1G68520","pink"
"AT2G35290","turquoise"
"AT2G35980","red"
"AT1G14880","yellow"
"AT1G66090","turquoise"
"AT1G71390","turquoise"
"AT1G09080","red"
"AT1G01560","turquoise"
"AT2G17740","green"
"AT1G51820","turquoise"
"AT3G24982","green"
"AT5G38900","yellow"
"AT5G02490","turquoise"
"AT5G17350","turquoise"
"AT4G23310","turquoise"
"AT4G13577","blue"
"AT2G19190","yellow"
"AT4G15610","yellow"
"AT5G12340","turquoise"
"AT3G44350","turquoise"
"AT5G23240","green"
"AT2G35930","turquoise"
"AT1G76930","yellow"
"AT3G21520","turquoise"
"AT1G15010","turquoise"
"AT2G32140","turquoise"
"AT5G48430","green"
"AT4G27280","turquoise"
"AT5G13320","red"
"AT2G43570","yellow"
"AT5G56980","magenta"
"AT3G57260","red"
"AT1G09930","turquoise"
"AT2G42540","green"
"AT1G21240","red"
"AT2G10940","blue"
"AT1G07135","turquoise"
"AT5G52050","turquoise"
"AT1G11670","turquoise"
"AT1G64170","yellow"
"AT4G13340","turquoise"
"AT2G38240","green"
"AT3G01830","turquoise"
"AT4G01950","turquoise"
"AT2G13810","yellow"
"AT5G44575","brown"
"AT1G19250","red"
"AT5G66620","turquoise"
"AT4G22710","turquoise"
"AT2G27690","turquoise"
"AT2G39518","yellow"
"AT2G34930","black"
"AT5G59320","green"
"AT3G26830","red"
"AT4G23150","red"
"AT4G11170","turquoise"
"AT1G74710","turquoise"
"AT1G09940","turquoise"
"AT3G19970","turquoise"
"AT5G39580","turquoise"
"AT1G78280","turquoise"
"AT3G59350","turquoise"
"AT4G34390","turquoise"
"AT3G25010","red"
"AT1G24260","grey"
"AT5G51465","turquoise"
"AT1G01680","turquoise"
"AT3G52450","turquoise"
"AT1G18020","turquoise"
"AT1G17380","turquoise"
"AT3G45060","turquoise"
"AT1G30370","turquoise"
"AT2G30770","red"
"AT3G48520","turquoise"
"AT3G61190","turquoise"
"AT4G15210","blue"
"AT2G29350","yellow"
"AT2G17660","turquoise"
"AT3G59220","green"
"AT4G17615","turquoise"
"AT2G14560","yellow"
"AT5G22690","turquoise"
"AT3G55430","turquoise"
"AT1G77510","yellow"
"AT3G55980","turquoise"
"AT2G39530","yellow"
"AT4G39670","turquoise"
"AT1G13650","blue"
"AT1G21310","yellow"
"AT1G28370","turquoise"
"AT1G26380","turquoise"
"AT5G44420","turquoise"
"AT2G32130","turquoise"
"AT4G24570","turquoise"
"AT3G21150","turquoise"
"AT2G32150","turquoise"
"AT5G57010","turquoise"
"AT4G39030","turquoise"
"AT5G13080","yellow"
"AT1G73540","turquoise"
"AT5G64870","turquoise"
"AT4G04500","red"
"AT2G25460","turquoise"
"AT1G18300","turquoise"
"AT3G53600","turquoise"
"AT1G76600","turquoise"
"AT5G41750","turquoise"
"AT4G19170","brown"
"AT2G30040","turquoise"
"AT1G02205","green"
"AT3G27690","blue"
"AT1G10585","green"
"AT4G30650","green"
"AT1G70090","turquoise"
"AT3G54020","turquoise"
"AT1G08860","turquoise"
"AT1G51890","yellow"
"AT2G38790","turquoise"
"AT4G14370","turquoise"
"AT4G35985","turquoise"
"AT2G27660","turquoise"
"AT2G22760","turquoise"
"AT1G17620","turquoise"
"AT4G09030","turquoise"
"AT5G26030","turquoise"
"AT5G53750","black"
"AT4G12290","green"
"AT2G43510","green"
"AT1G16420","turquoise"
"AT5G24150","brown"
"AT5G01380","turquoise"
"AT3G50930","turquoise"
"AT3G57450","turquoise"
"AT5G22520","turquoise"
"AT3G02380","blue"
"AT5G48400","yellow"
