"gene","module"
"AT1G56510","turquoise"
"AT4G26200","turquoise"
"AT1G18200","turquoise"
"AT3G26290","green"
"AT1G32350","red"
"AT5G41740","turquoise"
"AT2G06050","turquoise"
"AT5G35735","turquoise"
"AT2G43620","green"
"AT2G26150","turquoise"
"AT4G12320","brown"
"AT1G21910","turquoise"
"AT5G49730","blue"
"AT4G01080","brown"
"AT1G66160","turquoise"
"AT5G47330","green"
"AT3G62720","turquoise"
"AT4G00700","turquoise"
"AT1G30700","yellow"
"AT5G41080","turquoise"
"AT2G26010","turquoise"
"AT2G29110","turquoise"
"AT3G53150","yellow"
"AT1G21750","yellow"
"AT1G80820","turquoise"
"AT4G04490","turquoise"
"AT1G74330","turquoise"
"AT1G22400","turquoise"
"AT4G21840","red"
"AT5G16910","turquoise"
"AT3G05320","turquoise"
"AT2G38530","green"
"AT1G53625","turquoise"
"AT5G45340","turquoise"
"AT1G74310","turquoise"
"AT1G11960","turquoise"
"AT5G66210","turquoise"
"AT1G32920","turquoise"
"AT1G19180","turquoise"
"AT3G47340","magenta"
"AT3G63380","yellow"
"AT1G04980","yellow"
"AT3G13100","turquoise"
"AT2G39200","yellow"
"AT1G26770","green"
"AT5G25260","red"
"AT1G25400","turquoise"
"AT4G01870","red"
"AT2G04450","red"
"AT3G25780","turquoise"
"AT1G73080","turquoise"
"AT5G24590","turquoise"
"AT5G42020","yellow"
"AT1G65390","turquoise"
"AT2G14290","turquoise"
"AT5G63450","black"
"AT5G66640","turquoise"
"AT5G49520","turquoise"
"AT4G39640","turquoise"
"AT4G34400","turquoise"
"AT5G18670","magenta"
"AT1G32960","yellow"
"AT5G27060","yellow"
"AT2G22500","turquoise"
"AT4G37610","turquoise"
"ATCG00020","blue"
"AT2G41640","turquoise"
"AT2G39380","green"
"AT3G48640","turquoise"
"AT3G21230","turquoise"
"AT2G40740","turquoise"
"AT3G55970","yellow"
"AT2G06850","magenta"
"AT4G23600","blue"
"AT5G38700","turquoise"
"AT5G05340","green"
"AT4G22780","turquoise"
"AT4G36950","turquoise"
"AT1G22530","turquoise"
"AT5G11070","turquoise"
"AT5G07010","green"
"AT1G20823","magenta"
"AT5G66890","turquoise"
"AT4G38400","turquoise"
"AT2G31865","turquoise"
"AT2G23100","turquoise"
"AT2G27500","turquoise"
"AT5G01100","turquoise"
"AT5G52760","turquoise"
"AT2G02310","turquoise"
"AT3G50060","turquoise"
"AT3G46970","green"
"AT3G21670","brown"
"AT5G36790","blue"
"AT1G57630","red"
"AT4G20970","green"
"AT4G34150","turquoise"
"AT1G25145","turquoise"
"AT4G30290","black"
"AT3G28270","brown"
"AT3G14590","turquoise"
"AT3G28220","blue"
"AT5G22630","turquoise"
"AT1G69900","turquoise"
"AT5G47850","turquoise"
"AT5G64000","red"
"AT3G18250","yellow"
"AT4G34135","red"
"AT3G52400","turquoise"
"AT4G04540","turquoise"
"AT3G08720","turquoise"
"AT2G14620","yellow"
"AT3G04220","turquoise"
"AT4G19520","turquoise"
"AT2G44500","turquoise"
"AT4G21850","turquoise"
"AT3G26980","turquoise"
"AT5G01550","yellow"
"AT1G58225","turquoise"
"AT5G44050","black"
"AT2G32210","turquoise"
"AT5G52640","turquoise"
"AT5G36925","turquoise"
"AT5G24780","green"
"AT3G47480","yellow"
"AT3G04070","green"
"AT5G64120","yellow"
"AT5G64530","green"
"AT5G13490","yellow"
"AT5G47220","turquoise"
"AT5G11210","red"
"AT1G13520","red"
"AT2G01180","turquoise"
"AT2G18690","turquoise"
"AT4G30850","turquoise"
"AT1G12090","brown"
"AT1G25440","pink"
"AT2G25900","brown"
"AT4G38420","turquoise"
"AT2G24600","turquoise"
"AT3G25180","turquoise"
"AT2G22880","turquoise"
"AT1G44130","red"
"AT1G24330","black"
"AT2G29460","yellow"
"AT5G44430","turquoise"
"AT5G48570","turquoise"
"AT1G57590","green"
"AT1G13340","turquoise"
"AT1G74450","turquoise"
"AT5G24540","turquoise"
"AT5G61900","turquoise"
"AT1G76960","yellow"
"AT4G14365","turquoise"
"AT1G09950","turquoise"
"AT3G28210","turquoise"
"AT1G77640","turquoise"
"AT2G45570","yellow"
"AT4G28085","turquoise"
"AT3G54150","turquoise"
"AT3G55150","yellow"
"AT1G67920","turquoise"
"AT3G44260","turquoise"
"AT1G62320","turquoise"
"ATCG00490","blue"
"AT1G75040","red"
"AT5G64810","red"
"AT1G80840","turquoise"
"AT1G59910","turquoise"
"AT1G17420","black"
"AT2G47060","turquoise"
"AT3G57530","turquoise"
"AT3G53260","turquoise"
"AT3G51330","yellow"
"AT5G17760","yellow"
"AT2G44230","black"
"AT1G27730","turquoise"
"AT3G07195","turquoise"
"AT1G69530","blue"
"AT1G56240","turquoise"
"AT1G61340","turquoise"
"AT1G56300","green"
"AT1G56520","turquoise"
"AT5G19880","yellow"
"AT5G01040","turquoise"
"AT4G17500","turquoise"
"AT4G35180","yellow"
"AT1G53480","turquoise"
"AT1G17750","turquoise"
"AT2G37430","turquoise"
"AT5G13220","turquoise"
"AT5G61790","yellow"
"AT3G10815","turquoise"
"AT2G20562","turquoise"
"AT5G58120","turquoise"
"AT5G65300","turquoise"
"AT1G19020","turquoise"
"AT1G24881","grey"
"AT5G22530","turquoise"
"AT1G61800","red"
"AT2G25000","green"
"AT4G26530","brown"
"AT1G74590","yellow"
"AT1G68410","turquoise"
"AT3G61640","turquoise"
"AT4G18440","blue"
"AT2G37130","green"
"AT1G02920","yellow"
"AT5G59730","black"
"AT5G20630","blue"
"AT1G33950","red"
"AT4G27654","turquoise"
"AT4G18950","turquoise"
"AT1G69890","turquoise"
"AT1G56250","turquoise"
"AT2G01021","grey"
"AT2G32190","turquoise"
"AT5G08240","turquoise"
"AT1G07160","turquoise"
"AT1G32910","turquoise"
"AT5G52020","turquoise"
"AT1G30040","turquoise"
"AT3G52430","turquoise"
"AT1G55330","turquoise"
"AT3G04640","turquoise"
"AT3G62420","turquoise"
"AT1G10340","turquoise"
"AT3G09350","turquoise"
"AT4G21120","yellow"
"AT2G30020","turquoise"
"AT4G17230","turquoise"
"AT5G26920","turquoise"
"AT5G37600","yellow"
"AT4G12720","turquoise"
"AT3G46690","red"
"AT1G51090","green"
"AT1G65730","green"
"AT1G74670","blue"
"AT4G30270","turquoise"
"AT2G27310","turquoise"
"AT2G32680","turquoise"
"AT3G21305","turquoise"
"AT2G07706","blue"
"AT2G26560","turquoise"
"AT2G42360","turquoise"
"AT1G57650","turquoise"
"AT5G49740","brown"
"AT1G58420","turquoise"
"AT2G17480","turquoise"
"AT1G24140","turquoise"
"AT2G31010","turquoise"
"AT1G13480","yellow"
"AT1G02400","turquoise"
"AT3G25250","turquoise"
"AT2G03240","turquoise"
"AT1G28480","turquoise"
"AT1G09932","turquoise"
"AT1G27045","blue"
"AT2G39650","turquoise"
"AT5G22250","turquoise"
"AT5G24030","turquoise"
"AT5G66630","turquoise"
"AT4G33920","turquoise"
"AT4G31000","turquoise"
"AT4G37530","yellow"
"AT4G00970","magenta"
"AT2G38870","green"
"AT5G05300","turquoise"
"AT2G37770","green"
"AT1G61560","turquoise"
"AT2G26020","turquoise"
"AT5G51060","turquoise"
"AT2G02010","turquoise"
"AT1G66500","turquoise"
"AT2G18660","red"
"AT2G45820","turquoise"
"AT4G26690","turquoise"
"AT1G02270","turquoise"
"AT5G62620","turquoise"
"AT4G34230","green"
"AT2G25440","turquoise"
"AT5G03350","green"
"AT2G33020","green"
"AT5G22570","yellow"
"AT1G65690","yellow"
"AT1G13470","red"
"AT3G12580","turquoise"
"AT2G44370","yellow"
"AT3G15450","blue"
"AT5G65730","blue"
"AT3G13950","yellow"
"AT5G10760","yellow"
"AT3G46620","turquoise"
"AT3G52800","turquoise"
"AT5G28540","yellow"
"AT1G62710","green"
"AT2G41100","turquoise"
"AT5G48490","blue"
"AT4G37260","turquoise"
"AT5G16970","green"
"AT5G49280","turquoise"
"AT5G46050","yellow"
"AT1G44350","black"
"AT3G48850","yellow"
"AT5G61160","turquoise"
"AT5G47910","turquoise"
"AT2G30930","turquoise"
"AT5G18470","turquoise"
"AT5G55090","turquoise"
"AT4G24110","turquoise"
"AT5G50950","blue"
"AT4G04510","red"
"AT1G52190","blue"
"AT5G46295","turquoise"
"AT2G21510","turquoise"
"AT4G11070","red"
"AT3G57930","turquoise"
"AT1G14360","yellow"
"AT2G43320","turquoise"
"AT5G01730","magenta"
"AT3G13750","blue"
"AT4G32480","turquoise"
"AT1G05675","turquoise"
"AT1G76070","turquoise"
"AT1G26420","red"
"AT3G19240","turquoise"
"AT5G22540","turquoise"
"AT5G46910","turquoise"
"AT1G25150","yellow"
"AT2G25735","turquoise"
"AT2G46400","turquoise"
"AT1G15670","yellow"
"AT4G34380","turquoise"
"AT1G24793","blue"
"AT5G25450","turquoise"
"AT4G23700","red"
"AT5G20230","turquoise"
"AT1G69480","green"
"AT5G25250","turquoise"
"AT4G04840","blue"
"AT4G13890","red"
"AT2G33110","turquoise"
"AT2G34620","brown"
"AT1G19670","blue"
"AT4G08555","turquoise"
"AT4G29520","yellow"
"AT2G15020","blue"
"AT1G15125","blue"
"AT3G06890","turquoise"
"AT3G27540","turquoise"
"AT3G21320","turquoise"
"AT3G62600","yellow"
"AT2G40610","brown"
"AT5G54610","green"
"AT1G65970","yellow"
"AT5G59550","turquoise"
"AT4G15490","green"
"AT3G17690","turquoise"
"AT3G24900","red"
"AT5G55050","grey"
"AT1G19380","turquoise"
"AT1G56540","turquoise"
"AT1G33720","turquoise"
"AT4G30430","turquoise"
"AT3G43250","turquoise"
"AT2G02810","yellow"
"AT5G45090","red"
"AT5G54720","turquoise"
"AT2G32030","turquoise"
"AT5G64260","turquoise"
"AT2G30500","turquoise"
"AT2G42530","green"
"AT5G54710","turquoise"
"AT1G69880","green"
"AT5G26340","yellow"
"AT5G64905","turquoise"
"AT4G16260","red"
"AT1G09070","turquoise"
"ATCG00350","blue"
"AT5G44990","red"
"AT5G11740","turquoise"
"AT3G09940","turquoise"
"AT3G26740","pink"
"AT1G05340","turquoise"
"AT3G54400","brown"
"AT4G17490","turquoise"
"AT3G55950","turquoise"
"AT5G24200","yellow"
"AT2G40000","turquoise"
"AT3G14050","turquoise"
"AT1G13930","brown"
"AT4G21390","turquoise"
"AT2G39030","green"
"AT5G46500","turquoise"
"AT1G79680","turquoise"
"AT2G22860","turquoise"
"AT1G57560","turquoise"
"AT2G38470","turquoise"
"AT4G31550","turquoise"
"AT5G45630","turquoise"
"AT2G43820","green"
"AT3G50970","yellow"
"AT1G51850","yellow"
"AT1G76470","red"
"AT5G67340","turquoise"
"AT1G30720","turquoise"
"AT3G45330","red"
"AT5G42830","turquoise"
"AT3G13433","red"
"AT5G60800","turquoise"
"AT1G03850","yellow"
"AT1G72790","turquoise"
"AT4G24780","brown"
"AT5G38420","blue"
"AT3G13600","turquoise"
"AT5G56960","turquoise"
"AT5G43910","turquoise"
"AT5G41550","turquoise"
"AT2G17840","turquoise"
"AT4G24190","yellow"
"AT1G22570","turquoise"
"AT1G36622","turquoise"
"AT4G32280","blue"
"AT1G30850","yellow"
"AT5G38710","turquoise"
"AT4G01390","turquoise"
"AT1G63090","turquoise"
"AT1G77810","turquoise"
"AT1G19770","turquoise"
"AT2G21500","turquoise"
"AT1G09935","turquoise"
"AT1G73600","brown"
"AT2G44130","pink"
"AT3G48630","turquoise"
"AT5G13190","turquoise"
"AT2G21330","blue"
"AT3G24500","turquoise"
"AT3G09270","red"
"AT3G21070","turquoise"
"AT1G09210","yellow"
"AT4G17660","turquoise"
"AT5G54380","turquoise"
"AT3G24550","turquoise"
"AT1G69490","pink"
"AT1G05575","turquoise"
"AT5G59310","grey"
"AT4G34131","yellow"
"AT2G34500","yellow"
"AT1G33770","magenta"
"AT1G70130","turquoise"
"AT5G46510","turquoise"
"AT5G59820","turquoise"
"AT5G02780","yellow"
"AT1G16410","brown"
"AT1G29690","turquoise"
"AT1G35230","red"
"AT3G45650","turquoise"
"AT3G28890","yellow"
"AT2G36590","blue"
"AT3G59940","pink"
"AT2G32870","magenta"
"AT2G17230","turquoise"
"AT1G72450","magenta"
"AT2G35658","turquoise"
"AT4G11470","turquoise"
"AT1G74430","black"
"AT2G45180","brown"
"AT5G41730","turquoise"
"AT1G27770","turquoise"
"AT3G01500","blue"
"AT2G31335","turquoise"
"AT1G16130","turquoise"
"AT4G14630","red"
"AT5G44570","yellow"
"AT1G02930","yellow"
"AT4G23210","red"
"AT1G02230","yellow"
"AT3G09520","turquoise"
"AT4G22970","turquoise"
"AT5G49360","blue"
"AT4G38860","brown"
"AT5G39670","turquoise"
"AT1G73020","turquoise"
"AT1G10040","turquoise"
"AT1G22830","turquoise"
"AT5G45110","turquoise"
"AT4G18253","turquoise"
"AT1G74010","yellow"
"AT4G23140","turquoise"
"AT4G35655","turquoise"
"AT5G50200","yellow"
"AT3G26200","blue"
"AT3G28550","green"
"AT2G29500","yellow"
"AT5G62670","blue"
"AT5G14740","blue"
"AT1G07280","pink"
"AT4G18250","red"
"AT1G14870","turquoise"
"AT3G59700","turquoise"
"AT1G19150","blue"
"AT1G02460","green"
"AT5G01540","turquoise"
"AT1G47890","red"
"AT2G23810","turquoise"
"AT1G53620","turquoise"
"AT1G35350","turquoise"
"AT1G26730","turquoise"
"AT1G69930","red"
"AT4G20860","turquoise"
"AT4G12400","turquoise"
"AT5G07920","turquoise"
"AT2G26530","turquoise"
"AT5G65470","black"
"AT1G05560","pink"
"AT3G45640","turquoise"
"AT1G12240","blue"
"AT1G05300","green"
"AT4G37370","red"
"AT3G57240","yellow"
"AT5G07340","yellow"
"AT3G26520","blue"
"AT5G13200","turquoise"
"AT2G18680","turquoise"
"AT1G70170","turquoise"
"AT2G04430","red"
"AT1G02450","yellow"
"AT5G24470","green"
"AT3G22275","black"
"AT1G14250","brown"
"AT1G32900","blue"
"AT3G60290","magenta"
"AT1G65610","yellow"
"AT3G23230","turquoise"
"AT3G44720","turquoise"
"AT5G64850","black"
"AT5G03610","red"
"AT2G20880","brown"
"AT3G19680","turquoise"
"AT1G51270","blue"
"AT1G52400","blue"
"AT3G05900","blue"
"AT5G15960","green"
"AT2G32200","turquoise"
"AT4G32800","black"
"AT2G18300","brown"
"AT1G17170","yellow"
"AT1G28380","turquoise"
"AT3G46080","turquoise"
"AT5G26690","yellow"
"AT4G14368","turquoise"
"AT5G16030","blue"
"AT1G23710","turquoise"
"AT4G02520","red"
"AT4G10390","black"
"AT1G17745","yellow"
"AT3G22910","yellow"
"AT4G18197","magenta"
"AT1G59860","turquoise"
"AT1G51780","blue"
"AT1G61667","turquoise"
"AT1G64780","blue"
"AT3G22930","turquoise"
"AT5G05190","turquoise"
"AT4G36010","turquoise"
"AT1G17980","turquoise"
"AT2G39420","turquoise"
"AT5G06320","turquoise"
"AT1G61610","turquoise"
"AT3G54960","yellow"
"AT1G19960","pink"
"AT3G02140","turquoise"
"AT5G16360","turquoise"
"AT5G67300","turquoise"
"AT3G07390","yellow"
"AT1G68690","turquoise"
"AT3G23550","turquoise"
"AT2G15490","red"
"AT5G55450","turquoise"
"AT2G38750","brown"
"AT5G50790","blue"
"AT5G02940","blue"
"AT3G56200","turquoise"
"AT5G50640","turquoise"
"AT2G45560","brown"
"AT5G48410","yellow"
"AT3G13520","turquoise"
"AT1G64760","turquoise"
"AT5G54490","turquoise"
"AT2G16890","green"
"AT4G37770","turquoise"
"AT3G05490","turquoise"
"AT1G51620","turquoise"
"AT5G62570","turquoise"
"AT3G11010","red"
"AT3G25882","red"
"AT1G05880","red"
"ATCG00280","blue"
"AT4G19970","yellow"
"AT3G61390","turquoise"
"AT1G30900","red"
"AT4G36990","red"
"AT3G46090","turquoise"
"AT3G59400","brown"
"AT1G26390","yellow"
"AT1G20510","turquoise"
"AT1G02390","turquoise"
"AT1G28610","green"
"AT5G22545","turquoise"
"AT4G13575","blue"
"AT3G22231","green"
"AT1G27100","turquoise"
"AT3G47420","blue"
"AT3G03050","turquoise"
"AT5G39220","blue"
"AT4G27350","turquoise"
"AT2G36750","green"
"AT5G51830","yellow"
"AT4G18205","magenta"
"AT1G70700","magenta"
"AT1G31540","turquoise"
"AT1G30620","turquoise"
"AT5G52320","blue"
"AT5G22300","green"
"AT5G52810","yellow"
"AT1G10370","green"
"AT2G22980","blue"
"AT5G60280","red"
"AT5G43620","turquoise"
"AT5G10695","turquoise"
"AT5G23060","blue"
"AT2G20142","turquoise"
"AT3G21080","turquoise"
"AT2G41835","turquoise"
"AT1G68620","red"
"AT3G10300","turquoise"
"AT1G64065","turquoise"
"AT1G72210","turquoise"
"AT5G10625","green"
"AT5G19440","yellow"
"ATCG00340","blue"
"AT1G65040","yellow"
"AT1G32940","yellow"
"AT5G62865","turquoise"
"AT2G43550","brown"
"AT1G10760","green"
"AT2G20560","turquoise"
"AT4G11280","turquoise"
"AT4G33540","yellow"
"AT3G45860","turquoise"
"AT4G33467","green"
"AT3G53420","brown"
"AT5G64510","red"
"AT2G30550","yellow"
"AT4G37640","turquoise"
"AT1G56550","yellow"
"AT4G18010","turquoise"
"AT1G74360","turquoise"
"AT5G20150","turquoise"
"AT1G56340","yellow"
"AT4G29440","turquoise"
"AT1G07000","turquoise"
"AT5G37770","turquoise"
"AT1G68765","turquoise"
"AT3G28540","yellow"
"AT3G08970","red"
"AT4G37925","blue"
"AT5G15950","magenta"
"AT2G24850","turquoise"
"AT4G15440","brown"
"AT5G56340","turquoise"
"AT1G65481","turquoise"
"AT1G67810","turquoise"
"AT2G24330","turquoise"
"AT4G35600","turquoise"
"AT5G19110","turquoise"
"AT1G78000","green"
"AT3G11580","green"
"AT5G44572","green"
"AT5G24110","turquoise"
"AT5G11060","pink"
"AT3G15356","turquoise"
"AT1G51760","turquoise"
"AT5G54960","green"
"AT1G66960","red"
"AT5G01710","turquoise"
"AT1G51860","yellow"
"AT1G70820","brown"
"AT4G00165","brown"
"AT3G27210","turquoise"
"AT1G29290","turquoise"
"AT3G49670","brown"
"AT1G26761","brown"
"AT2G05810","turquoise"
"AT2G29090","green"
"AT5G39050","yellow"
"AT1G66465","red"
"AT3G28340","turquoise"
"AT5G63770","turquoise"
"AT2G22470","turquoise"
"AT4G30210","turquoise"
"AT2G46510","turquoise"
"AT1G72280","turquoise"
"AT4G30190","brown"
"AT3G47960","black"
"AT3G14810","brown"
"AT3G23170","turquoise"
"AT3G13210","turquoise"
"AT4G22590","turquoise"
"AT4G27300","turquoise"
"AT4G23400","blue"
"AT5G24420","blue"
"AT1G51670","turquoise"
"AT3G22620","red"
"AT4G26270","yellow"
"AT5G65920","turquoise"
"AT5G15780","blue"
"AT4G38560","turquoise"
"AT4G04020","green"
"AT2G04070","red"
"AT3G29000","turquoise"
"AT5G64660","turquoise"
"AT2G21210","brown"
"AT1G35210","turquoise"
"AT1G76970","turquoise"
"AT3G25760","magenta"
"AT1G12900","blue"
"AT5G42760","blue"
"AT3G01820","turquoise"
"AT1G63750","turquoise"
"AT3G48200","blue"
"AT4G31800","turquoise"
"AT1G22180","turquoise"
"AT1G55960","brown"
"AT3G60540","red"
"AT1G18210","turquoise"
"AT3G15570","brown"
"AT4G29905","brown"
"AT3G21760","brown"
"AT5G02760","blue"
"AT2G40340","yellow"
"AT5G67420","pink"
"AT4G22010","turquoise"
"AT1G15430","turquoise"
"AT3G62260","turquoise"
"AT2G38250","turquoise"
"AT3G21890","blue"
"AT2G21130","green"
"AT5G36907","yellow"
"AT2G29290","blue"
"AT4G15800","turquoise"
"AT5G13700","turquoise"
"AT1G78380","yellow"
"AT4G34950","green"
"AT2G15390","turquoise"
"AT3G62950","blue"
"AT1G76040","turquoise"
"AT1G66700","red"
"AT3G54810","turquoise"
"AT3G52720","blue"
"AT2G03550","brown"
"AT1G49720","green"
"AT2G12480","blue"
"AT1G14520","black"
"AT4G20110","yellow"
"AT1G66760","black"
"AT1G68840","turquoise"
"AT5G25460","blue"
"ATCG00270","blue"
"AT2G47130","red"
"AT4G36540","brown"
"AT1G18740","turquoise"
"AT2G45210","green"
"AT1G09100","yellow"
"AT4G39830","turquoise"
"AT1G69840","turquoise"
"AT5G01900","yellow"
"AT1G06135","turquoise"
"AT1G71030","pink"
"AT4G27450","blue"
"AT3G44190","turquoise"
"AT3G61430","brown"
"AT5G45280","turquoise"
"AT1G17600","turquoise"
"AT5G03160","yellow"
"AT2G03310","pink"
"AT5G58720","turquoise"
"AT5G64770","blue"
"AT5G41761","blue"
"AT3G13310","yellow"
"AT5G55120","black"
"AT5G21100","brown"
"AT4G12730","black"
"AT1G30190","turquoise"
"AT4G35480","turquoise"
"AT2G23130","blue"
"AT5G42650","black"
"AT5G05440","turquoise"
"AT3G54500","magenta"
"AT2G25297","turquoise"
"AT3G14210","blue"
"AT1G30250","blue"
"AT2G28630","blue"
"AT4G26540","brown"
"AT1G30730","turquoise"
"AT4G23320","red"
"AT1G08050","red"
"AT2G32540","brown"
"AT3G10720","turquoise"
"AT4G34220","brown"
"AT1G75380","pink"
"AT4G22530","yellow"
"AT3G15518","turquoise"
"AT1G59870","turquoise"
"AT5G64750","turquoise"
"AT3G30180","pink"
"AT4G03460","yellow"
"AT4G02380","turquoise"
"AT5G25120","green"
"AT2G25110","yellow"
"AT4G11320","brown"
"AT3G16240","blue"
"AT3G57040","blue"
"AT1G64710","turquoise"
"AT3G03470","pink"
"AT4G23200","turquoise"
"AT5G26170","red"
"AT1G17615","turquoise"
"AT1G69870","green"
"AT1G33030","red"
"AT5G64550","green"
"AT5G41100","turquoise"
"AT3G56790","turquoise"
"AT4G16820","turquoise"
"AT3G27170","blue"
"AT1G73810","turquoise"
"AT2G30750","red"
"AT1G02820","brown"
"AT1G26410","yellow"
"AT5G23820","blue"
"AT3G56090","black"
"AT5G38250","red"
"AT1G78600","green"
"AT2G39730","blue"
"AT3G44990","brown"
"AT3G22235","green"
"AT3G49530","turquoise"
"AT2G01008","green"
"AT5G14930","turquoise"
"AT3G52310","turquoise"
"AT3G21351","green"
"AT4G27820","brown"
"AT5G57480","yellow"
"AT3G45040","turquoise"
"AT5G01560","turquoise"
"AT1G43910","red"
"AT2G16586","brown"
"AT1G30810","turquoise"
"AT5G20960","yellow"
"AT1G32928","turquoise"
"AT2G29440","black"
"AT4G36030","turquoise"
"AT2G37940","turquoise"
"AT1G68190","blue"
"AT1G43310","yellow"
"AT2G36580","red"
"AT1G30755","turquoise"
"AT5G58710","yellow"
"AT4G28350","turquoise"
"AT2G38170","brown"
"AT1G64390","blue"
"AT5G19190","brown"
"AT5G54170","turquoise"
"AT1G24530","turquoise"
