"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.650853005317345,4.38935456029018,0.7121892253654,2580.38288926105,2609.96677881008,2929.98742213756
2,0.479445838397976,2.25700529352859,0.681999851302465,1667.41201290237,1688.31333486306,2094.31353513224
3,0.539414132040854,2.04011645153186,0.841204348800616,1207.22935403915,1225.02631229319,1655.3370905089
4,0.561030194493,1.6237479881652,0.921035878840891,932.437079171271,942.756651388471,1387.83150706274
5,0.517528792793671,1.17341044852869,0.945133839760921,750.32950359856,751.538874396915,1209.57222515551
6,0.410418264378158,0.806554574390865,0.94194155582618,621.068002981691,612.059224122895,1076.03328202451
7,0.267657268376788,0.516783836165791,0.937833411066569,524.795295897839,508.068898436959,970.55873200919
8,0.119831562586009,0.287764597241457,0.937223336850699,450.508169467878,428.738804133012,884.165220805554
9,0.0196017474220536,0.103617093224202,0.901063652112655,391.61173630088,364.395708403929,811.515369753258
10,0.00147171262776705,-0.0271066910956082,0.882178868858465,343.908175894622,313.791844487227,749.216977684378
11,0.0482618788577607,-0.151455339294497,0.877023161735353,304.595716038486,273.9197897045,694.991790670504
12,0.163312023258355,-0.27792083505145,0.880222994909157,271.731462587191,240.370937074048,647.238321207445
