"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT2G46830",885.138177294278,-0.97554958880102,0.0835553340436149,2.34750155747086e-32,4.08934771311425e-28
"AT5G15950",1058.46429885084,-1.45376652095534,0.132731770663756,5.16733272722286e-29,4.50074680541111e-25
"AT1G09935",24.1197681031312,3.74698979819632,0.364417164046629,2.44079011892465e-26,1.41728546238891e-22
"AT2G27020",439.679964233974,0.818635577023248,0.0783684055592929,3.75586116352978e-26,1.63567753671722e-22
"AT3G17420",88.8579253411927,1.63508829634183,0.162226020945527,4.51659669259174e-25,1.57358228769896e-21
"AT1G07010",310.124290053554,-0.940154535555019,0.0948656652992136,5.01230388812442e-24,1.45523889551879e-20
"AT1G09310",2457.14852891811,-1.39998771718618,0.142523808393732,6.84344059187218e-24,1.7030390730059e-20
"AT1G64060",266.611658384728,1.18063546805895,0.122747998195324,7.40067456565989e-23,1.61149688667244e-19
"AT2G15020",238.41841224152,-2.56807023816903,0.281688069309533,4.74614542971634e-22,9.18642815396207e-19
"AT3G24190",639.123429020103,-1.17710818126271,0.127725020229421,2.39960822860851e-21,4.18011753423602e-18
"AT5G25610",2936.34359749459,-1.13120327074621,0.12274439789882,2.81580232418717e-21,4.4592069533946e-18
"AT1G21720",304.59573854137,0.744445192470111,0.0804794284070303,3.91840730494022e-21,5.68822127100488e-18
"AT3G15354",229.352912903418,-1.35728791355923,0.149100766218468,8.07833998201991e-21,1.08249755759067e-17
"AT4G25450",182.474925934587,-0.745374826220234,0.0812282444708684,9.51773823529637e-21,1.18427857184902e-17
"AT3G54660",783.599930883448,-0.82102416035824,0.0899497477580607,1.13303090945314e-20,1.31582656284491e-17
"AT4G14630",25.5385144924047,3.04677281168193,0.339994160789502,3.11477676415279e-20,3.39121320197135e-17
"AT1G16410",312.354075846089,-2.33621628534066,0.263688090119083,3.9214902848497e-20,4.01837416247539e-17
"AT5G45820",180.235701334435,-1.82561781414386,0.207619361540136,8.31351856215821e-20,8.04563851959978e-17
"AT4G02920",1128.74833186747,-1.12939382382587,0.128556841148724,1.56635209518663e-19,1.43609755253427e-16
"AT3G62290",1537.9202079162,0.483497098667482,0.0539897872297765,1.72787673065866e-19,1.50498063240369e-16
"AT1G09100",120.352477992208,1.28731386595619,0.147764537013588,2.22641830909397e-19,1.84686699735319e-16
"AT5G22390",130.763624786638,-1.07404664121209,0.122801603808938,2.65471104123924e-19,2.10204846992671e-16
"AT1G57770",119.221477904645,-1.35894905038482,0.157135760266159,4.22945186044609e-19,3.06987714204045e-16
"AT4G39350",455.95690050452,-0.997649603781015,0.114655683198132,4.22811247513042e-19,3.06987714204045e-16
"AT3G61080",144.792885881375,-1.26536913832139,0.147126602721146,6.74291401795987e-19,4.51775239203311e-16
"AT5G59130",125.507994333736,-1.79674299079356,0.207775455159772,6.72927700755878e-19,4.51775239203311e-16
"AT4G31870",56.543031251901,-1.87461691675314,0.220018712677064,8.01889195319918e-19,5.1736702898048e-16
"AT3G23600",460.066104011056,0.664717790787305,0.0766955057653149,9.92329118713838e-19,6.17370473142681e-16
"AT1G67250",108.628959854523,0.761424879250676,0.0882209302128256,1.14409352903936e-18,6.87245147443645e-16
"AT2G29650",752.591934494316,-0.908287153846139,0.106108188042465,1.64563444868587e-18,9.55565069870264e-16
"AT2G42540",1541.97582142943,-2.26364959309003,0.268000883816529,1.73900864295895e-18,9.77210663236934e-16
"AT3G60820",509.757028477393,0.682778004491413,0.0795001376753722,1.92985970475211e-18,1.05056737677443e-15
"AT1G18720",299.086144037256,0.550069777427602,0.0636148230145307,2.05122745460225e-18,1.06595655481239e-15
"AT4G28060",157.52130095484,0.614331970735981,0.0713161933045844,2.08051221949606e-18,1.06595655481239e-15
"AT4G13770",432.286270037516,-1.75191981787645,0.207722903426633,2.49224521635586e-18,1.2404260476834e-15
"AT4G31300",449.721959677366,0.564845301301278,0.0658278834854041,2.81450278247091e-18,1.36190662418454e-15
"AT2G25297",69.3864747154343,1.79138908472611,0.213411339167864,3.03037747155173e-18,1.42673447444409e-15
"AT2G40765",178.873902963687,0.698258453582857,0.0821379198650842,4.25062381446415e-18,1.94857544336751e-15
"AT1G04850",357.710250098175,0.522878502995147,0.0611434260388028,5.09912538660132e-18,2.16650644474622e-15
"AT1G13520",47.9011142871273,3.48577555253297,0.420198294689155,4.94733741108324e-18,2.16650644474622e-15
"AT4G32770",153.170671834149,-1.53244761863987,0.184456702677519,5.00014729767053e-18,2.16650644474622e-15
"AT5G07690",61.4494174984448,-2.04413473292876,0.244547215663247,7.30813730930775e-18,3.03113695067003e-15
"AT5G35590",340.942111869353,0.576350636158598,0.0679421267427534,8.0436119997772e-18,3.25859816363067e-15
"AT2G36830",2533.51006272074,-1.75093355798423,0.211428069637675,8.31634651575324e-18,3.27914425264856e-15
