"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT5G15950",1058.46429885084,-1.45376652095534,0.132731770663756,5.16733272722286e-29,4.50074680541111e-25
"AT1G09935",24.1197681031312,3.74698979819632,0.364417164046629,2.44079011892465e-26,1.41728546238891e-22
"AT3G17420",88.8579253411927,1.63508829634183,0.162226020945527,4.51659669259174e-25,1.57358228769896e-21
"AT1G09310",2457.14852891811,-1.39998771718618,0.142523808393732,6.84344059187218e-24,1.7030390730059e-20
"AT1G64060",266.611658384728,1.18063546805895,0.122747998195324,7.40067456565989e-23,1.61149688667244e-19
"AT2G15020",238.41841224152,-2.56807023816903,0.281688069309533,4.74614542971634e-22,9.18642815396207e-19
"AT3G24190",639.123429020103,-1.17710818126271,0.127725020229421,2.39960822860851e-21,4.18011753423602e-18
"AT5G25610",2936.34359749459,-1.13120327074621,0.12274439789882,2.81580232418717e-21,4.4592069533946e-18
"AT3G15354",229.352912903418,-1.35728791355923,0.149100766218468,8.07833998201991e-21,1.08249755759067e-17
"AT4G14630",25.5385144924047,3.04677281168193,0.339994160789502,3.11477676415279e-20,3.39121320197135e-17
"AT1G16410",312.354075846089,-2.33621628534066,0.263688090119083,3.9214902848497e-20,4.01837416247539e-17
"AT5G45820",180.235701334435,-1.82561781414386,0.207619361540136,8.31351856215821e-20,8.04563851959978e-17
"AT4G02920",1128.74833186747,-1.12939382382587,0.128556841148724,1.56635209518663e-19,1.43609755253427e-16
"AT1G09100",120.352477992208,1.28731386595619,0.147764537013588,2.22641830909397e-19,1.84686699735319e-16
"AT5G22390",130.763624786638,-1.07404664121209,0.122801603808938,2.65471104123924e-19,2.10204846992671e-16
"AT1G57770",119.221477904645,-1.35894905038482,0.157135760266159,4.22945186044609e-19,3.06987714204045e-16
"AT3G61080",144.792885881375,-1.26536913832139,0.147126602721146,6.74291401795987e-19,4.51775239203311e-16
"AT5G59130",125.507994333736,-1.79674299079356,0.207775455159772,6.72927700755878e-19,4.51775239203311e-16
"AT4G31870",56.543031251901,-1.87461691675314,0.220018712677064,8.01889195319918e-19,5.1736702898048e-16
"AT2G42540",1541.97582142943,-2.26364959309003,0.268000883816529,1.73900864295895e-18,9.77210663236934e-16
"AT4G13770",432.286270037516,-1.75191981787645,0.207722903426633,2.49224521635586e-18,1.2404260476834e-15
"AT2G25297",69.3864747154343,1.79138908472611,0.213411339167864,3.03037747155173e-18,1.42673447444409e-15
"AT1G13520",47.9011142871273,3.48577555253297,0.420198294689155,4.94733741108324e-18,2.16650644474622e-15
"AT4G32770",153.170671834149,-1.53244761863987,0.184456702677519,5.00014729767053e-18,2.16650644474622e-15
"AT5G07690",61.4494174984448,-2.04413473292876,0.244547215663247,7.30813730930775e-18,3.03113695067003e-15
"AT2G36830",2533.51006272074,-1.75093355798423,0.211428069637675,8.31634651575324e-18,3.27914425264856e-15
"AT4G11070",44.3761280824944,2.91555432269802,0.355093868634713,8.47080891901178e-18,3.27914425264856e-15
"AT1G61490",33.3211597679915,2.03757377912929,0.248779348168516,1.09312309714721e-17,3.96712590673008e-15
"AT5G67030",2222.87710382739,-1.00832390398879,0.121275216077381,1.08379989271343e-17,3.96712590673008e-15
"AT1G58520",207.993054298983,-1.70984169411192,0.208313267203945,1.43550640409117e-17,5.10337174678943e-15
"AT1G69930",40.4494295281291,2.58466741631659,0.321129935726652,2.55063083468122e-17,8.54461329618209e-15
"AT4G28460",16.0721719847034,2.90986439432497,0.361749909813018,2.50676620300348e-17,8.54461329618209e-15
"AT4G36360",379.842418605567,-1.60834028621881,0.200758021141098,4.60548718974488e-17,1.43263547938135e-14
"AT3G09450",88.2620149812709,-2.57875993400475,0.332594864767199,8.7295708389918e-17,2.62188144853857e-14
"AT3G26570",935.081304113398,-1.1407838179332,0.143232678903889,9.13383171001918e-17,2.65185580647557e-14
"AT4G24690",1413.40867807842,1.04549381426893,0.129398762549464,9.12644790627411e-17,2.65185580647557e-14
"AT5G18350",11.9607911280511,3.4550053951632,0.430265185509748,1.3512703894665e-16,3.79663390072684e-14
"AT4G12030",99.8329246140067,-1.90488684915349,0.240650197985135,1.45419556666344e-16,4.02096615417096e-14
"AT3G13433",29.1580592836612,3.07583997471249,0.397798049223855,2.8288102668215e-16,7.46634467394403e-14
"AT5G13400",140.757962415624,-1.44046224826064,0.18250994573372,2.90246813146745e-16,7.54641714181536e-14
"AT2G02230",105.172120348331,1.25629606893757,0.15998455521735,3.00304511732562e-16,7.69309499173711e-14
"AT4G26850",2873.98218143475,-1.36357103904711,0.174638773506292,3.22695280607005e-16,8.14688664952757e-14
"AT1G51440",41.7730735391781,-2.03755937483486,0.261604749826481,5.25707286423107e-16,1.25445887565595e-13
"AT1G56500",513.115584945601,-1.00692016580604,0.129024221335161,5.32892978177614e-16,1.25445887565595e-13
"AT2G35660",70.4868899296485,-1.25716327850855,0.161877247870462,7.78065870463387e-16,1.78340887677266e-13
"AT1G16320",212.216305075661,-1.05963450078194,0.135712802947327,8.10714899671052e-16,1.81424618873985e-13
"AT1G69900",136.393245297951,1.49511436808776,0.193723843709509,8.12349039734261e-16,1.81424618873985e-13
"AT1G08940",67.1689214090255,1.49164303088733,0.193369475356043,8.80614900355151e-16,1.94181159040338e-13
"AT5G19730",45.3040980503366,-1.93012367621631,0.249971341267041,9.75252748357104e-16,2.09739541683713e-13
"AT1G74090",123.588718029473,-1.61487991810542,0.209665749704393,1.21154587335537e-15,2.57379623339641e-13
"AT4G15490",173.445267332498,-1.50195097307457,0.195231108690746,1.5463679278648e-15,3.09629072452929e-13
"AT5G23010",327.164354807872,-1.6527304538289,0.216726170018938,1.53965390109363e-15,3.09629072452929e-13
"AT1G04240",131.170495244063,-1.53113569795541,0.201488281883776,1.91632326434644e-15,3.7091501405461e-13
"AT2G32640",83.0812803306445,-1.44814405721815,0.192725417818457,2.38090043515409e-15,4.50818321525917e-13
"AT5G36910",40.0098537010192,-2.33937748615776,0.310166716437283,2.79633599765871e-15,5.07418469575153e-13
"AT1G64780",60.5458194109389,-2.85514077807246,0.379807859271612,2.96233266349403e-15,5.31998298949134e-13
"AT5G44480",15.5302033950793,2.27258175304565,0.301957180206419,4.02181779625845e-15,7.00600660108222e-13
"AT4G33010",7888.69863003604,-1.27017757300949,0.169893319552672,4.23135565197056e-15,7.29804113438883e-13
"AT1G64390",242.284064241363,-1.818852973662,0.244905359908651,4.70139002048661e-15,8.02923668204673e-13
"AT4G10030",124.408022411893,-1.01951222227565,0.135735441436364,5.69201494304903e-15,9.44332383884895e-13
"AT5G63990",47.5034352065143,1.03305105644825,0.137388469142349,6.58183878934484e-15,1.06162621954062e-12
"AT3G53420",3824.70994493058,-1.94017193168174,0.26151536168551,6.79766242584824e-15,1.08637871062639e-12
"AT5G03760",226.092621565885,-1.32907340552411,0.178185339464314,6.89842401892066e-15,1.09245951281453e-12
"AT3G03780",831.214330355455,-1.17162513016972,0.156029016701799,7.03436575324906e-15,1.103951814609e-12
"AT1G29290",43.5806756497697,1.94728823403189,0.26535105477811,1.15444618485763e-14,1.76407478422982e-12
"AT3G22910",241.804897103642,1.58945333457662,0.21768574348449,1.38389501540462e-14,2.07822854899556e-12
"AT4G29850",17.0745087822454,1.81880766469727,0.247910272664072,1.53289221294173e-14,2.2626274489473e-12
"AT1G14330",174.908112884493,1.06912842687175,0.144947978189049,1.62003925244017e-14,2.35175698145899e-12
"AT4G36530",227.878738450958,-1.09441992560943,0.148089811145597,1.69765024015016e-14,2.42402190027998e-12
"AT3G54600",101.969299687796,-1.73874561781463,0.238065686479064,1.75454928444449e-14,2.48489825487992e-12
"AT1G78380",2945.2808903002,1.32107687665236,0.179800125641432,1.83192157375251e-14,2.5529659051815e-12
"AT5G62740",148.952686206751,1.08300253823984,0.147078775685617,1.8623183409637e-14,2.57472900790378e-12
"AT4G01895",23.5733986297861,1.76047216009779,0.242101506682345,2.42855363724663e-14,3.25426187391048e-12
"AT3G09270",37.7580047032591,3.13704857936689,0.43967350637086,2.91245758672024e-14,3.87290161531806e-12
"AT4G12830",98.080021950506,-1.81565828745172,0.253313773667862,3.20199913833563e-14,4.19764043966324e-12
"AT4G18390",94.9254152494977,-1.04180549995766,0.142184554834413,3.20485751133876e-14,4.19764043966324e-12
"AT1G80760",90.7559452045222,-1.18876612076917,0.163441659595214,3.32493883892925e-14,4.29040256104797e-12
"AT4G28390",202.708587725617,1.28363865647442,0.176572844481544,3.30146803760185e-14,4.29040256104797e-12
"AT1G45191",27.2170230623366,-1.81048922404327,0.250786647926808,3.41796858232173e-14,4.34605932146311e-12
"AT1G52510",502.436721561901,-1.15920589196363,0.160881379185247,3.40780906074114e-14,4.34605932146311e-12
"AT2G14620",65.8488524508984,3.32985796411177,0.484521200222817,3.49840638078648e-14,4.37435959362334e-12
"AT3G58990",94.6325186322067,-1.91657387228238,0.266210178347705,3.54066993513715e-14,4.37435959362334e-12
"AT1G04680",381.026343424915,-1.16765815683859,0.162875217505397,4.2131768905822e-14,5.09677371069042e-12
"AT1G26410",22.649531222605,2.63657947407621,0.373884278091149,4.61467680182123e-14,5.54397723363627e-12
"AT4G18740",93.6531365940576,-1.11220768174269,0.153211334110959,4.70596743102522e-14,5.57673147268431e-12
"AT4G37530",227.042165168944,1.80357828745614,0.256470722975589,4.80489713586307e-14,5.65549379099559e-12
"AT5G67370",271.771096811661,-1.29652920861722,0.182073022493312,5.9551283285568e-14,6.78028336493199e-12
"AT5G18270",23.7463900353598,2.19709451289326,0.309406726392975,6.27345181956017e-14,7.00535453184219e-12
"AT2G27310",284.076634725488,1.27812312745981,0.178099105862389,6.98040339706427e-14,7.59991419855372e-12
"AT1G20070",365.637176120642,-1.96347152946659,0.277606138925528,7.94051555072334e-14,8.59153918593792e-12
"AT3G12910",22.2320825098377,2.27534978112027,0.325027609854088,9.47374263213527e-14,9.94172268986726e-12
"AT1G34180",17.2622079782359,1.67742122507522,0.237401957347082,9.96451792715143e-14,1.02446582562025e-11
"AT5G44670",32.6904544431093,-1.26194540547461,0.176932577500824,9.99765731087505e-14,1.02446582562025e-11
"AT5G23120",1009.24890826334,-1.1482085626975,0.163627804823557,1.09025690550922e-13,1.11065937391641e-11
"AT1G17615",14.9762353787889,2.10986107430686,0.301335971538094,1.1853099655268e-13,1.17989140568439e-11
"AT5G05740",131.694957262926,-1.22206175931037,0.174010106075492,1.3589119564348e-13,1.3197840295259e-11
"AT5G48790",312.894696476354,-1.12225663357536,0.158415158129769,1.37130257947295e-13,1.3197840295259e-11
"AT5G64790",15.0276776888812,2.29636282682898,0.324393349350667,1.36738275694937e-13,1.3197840295259e-11
"AT1G06135",13.1727608196072,2.87525408108529,0.424440666929867,1.42376609713812e-13,1.35530084219377e-11
"AT3G22400",119.5362238492,1.30824459985396,0.185686236428486,1.64936101673597e-13,1.56151461475764e-11
"AT1G25370",99.0089801990572,1.36676735291202,0.195470600029345,1.8712989935061e-13,1.76205559280412e-11
"AT3G23450",187.358385127604,-1.63296400997691,0.233670549545332,1.88419705201797e-13,1.76466197022328e-11
"AT1G78410",88.1823642002622,1.41508807188783,0.203021108919981,2.10507181651843e-13,1.9300184759869e-11
"AT5G46080",101.918697942873,1.52710613133218,0.220310989361804,2.62326920809619e-13,2.36773832150444e-11
"AT2G30500",338.682093721914,1.00807786260577,0.143819448234553,2.83225206141538e-13,2.53014517486441e-11
