"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019748","secondary metabolic process","42/1109","185/13222",0.227027027027027,2.70671898228255,7.0734472199145,1.73330195431998e-09,2.70048444483053e-06,2.45763971838844e-06,"843329/844174/820083/831568/843799/830088/824723/837953/829435/844169/843126/839578/831241/822042/818902/817628/836802/843600/844173/838288/842478/836368/821227/842880/820564/816829/822298/827931/817496/838136/830416/817495/828469/827678/838421/839295/831522/816831/836690/816832/837817/814822",42
"GO:0015979","photosynthesis","41/1109","196/13222",0.209183673469388,2.49398244419499,6.37587890346579,3.30953849817153e-08,2.15538732863766e-05,1.9615611996993e-05,"824572/843413/820740/838168/831741/830772/824559/819295/828388/829678/828489/824746/840895/841995/821134/835515/842386/843990/842785/836525/833476/837848/818532/835168/832477/839969/814688/842477/837974/822391/843903/817409/843222/820871/835037/835286/838498/3768499/821143/841984/817630",41
"GO:0019684","photosynthesis, light reaction","31/1109","129/13222",0.24031007751938,2.86508552295874,6.44089307244733,5.83543985803694e-08,2.15538732863766e-05,1.9615611996993e-05,"824572/843413/820740/838168/831741/830772/819295/828388/829678/828489/841995/835515/842386/843990/842785/836525/833476/832477/839969/814688/837974/822391/843903/843222/820871/835037/835286/838498/3768499/821143/841984",31
"GO:0016144","S-glycoside biosynthetic process","17/1109","46/13222",0.369565217391304,4.40612380915043,7.00195991081783,7.49314857147186e-08,2.15538732863766e-05,1.9615611996993e-05,"838211/827011/830662/826811/843749/832365/825068/831270/821508/842553/818912/836263/842897/836210/838210/830663/844013",17
"GO:0019761","glucosinolate biosynthetic process","17/1109","46/13222",0.369565217391304,4.40612380915043,7.00195991081783,7.49314857147186e-08,2.15538732863766e-05,1.9615611996993e-05,"838211/827011/830662/826811/843749/832365/825068/831270/821508/842553/818912/836263/842897/836210/838210/830663/844013",17
"GO:0009773","photosynthetic electron transport in photosystem I","10/1109","16/13222",0.625,7.45153291253381,7.81284717201603,8.30059304995249e-08,2.15538732863766e-05,1.9615611996993e-05,"824572/843413/838168/819295/828388/842785/836525/814688/820871/841984",10
"GO:0071229","cellular response to acid chemical","18/1109","55/13222",0.327272727272727,3.90189359783589,6.5251647049922,2.65244005534108e-07,5.90357372317342e-05,5.37268684893899e-05,"844174/816092/839815/817459/817458/837455/822453/834896/843129/822391/830471/834895/830991/828053/838122/824311/829571/832474",18
"GO:0009404","toxin metabolic process","17/1109","51/13222",0.333333333333333,3.9741508866847,6.43888662145465,4.22498956197317e-07,7.2764948752013e-05,6.62214620424036e-05,"843329/844174/820083/843799/844169/818902/817628/844173/838288/836368/821227/822298/827931/817496/817495/839295/814822",17
"GO:0006979","response to oxidative stress","61/1109","378/13222",0.161375661375661,1.92399368323624,5.51488957278929,4.53865707462931e-07,7.2764948752013e-05,6.62214620424036e-05,"829316/829413/844174/829908/844177/835538/840114/824073/820264/834396/821225/832110/835840/842909/836011/831241/841564/838052/832546/822488/825821/818588/829795/829907/837894/839969/826447/832476/836103/818566/832234/839392/841843/837528/823994/834678/821227/28720712/829915/820564/843584/834012/822462/834244/842405/828272/838544/828414/838016/828053/842120/822119/830416/826448/821731/828273/838122/837457/826718/833954/837429",61
"GO:0009767","photosynthetic electron transport chain","16/1109","46/13222",0.347826086956522,4.14694005567099,6.46915653869057,4.76990437159791e-07,7.2764948752013e-05,6.62214620424036e-05,"824572/843413/838168/819295/828388/828489/842386/842785/836525/814688/837974/820871/835037/3768499/821143/841984",16
"GO:0009407","toxin catabolic process","14/1109","36/13222",0.388888888888889,4.63650936779882,6.61076154962285,5.13744824308179e-07,7.2764948752013e-05,6.62214620424036e-05,"843329/844174/820083/843799/844169/844173/838288/836368/821227/827931/817496/817495/839295/814822",14
"GO:0001101","response to acid chemical","68/1109","442/13222",0.153846153846154,1.83422348616217,5.39759366409871,6.14859623923194e-07,7.9829274506028e-05,7.26505187214511e-05,"832636/818854/830662/836838/832365/824510/844174/816092/833998/3768804/819731/838896/823850/836702/839815/817459/817458/821225/837082/839235/818353/815949/821495/842010/837455/822453/829684/818457/819332/833704/834896/837602/818566/825316/840058/818435/843129/833862/821904/818294/822391/830471/818293/834895/822298/818166/819562/830991/834244/831453/839304/823563/841670/818604/828053/818414/830663/817901/838122/814714/824311/818458/837817/829571/836051/818722/836050/832474",68
"GO:0006790","sulfur compound metabolic process","54/1109","324/13222",0.166666666666667,1.98707544334235,5.44294233789613,7.45566279622623e-07,8.93532510501574e-05,8.13180387572205e-05,"838211/827011/830662/843329/826811/843749/832365/836520/821147/844174/820083/825068/821964/831270/821508/834407/843799/842553/818912/836263/835968/821201/835567/844169/818902/842897/825182/817628/844173/838288/836210/832525/836368/821227/817180/822298/827931/819562/821845/817496/838544/838210/841670/820639/830663/817495/836521/839295/844013/830788/837817/814822/843107/831298",54
"GO:0140546","defense response to symbiont","60/1109","376/13222",0.159574468085106,1.902519041498,5.3720296893102,8.3024470010624e-07,9.23943744832516e-05,8.4085685040835e-05,"830662/842443/828963/827073/838338/2745743/843073/824073/816757/836263/839843/815949/842067/831393/817626/826753/817628/827695/834545/818171/828415/831457/832234/817403/816957/834678/844423/28720712/836614/834768/821832/824405/824257/841622/819142/822298/838508/828430/822184/828414/840190/843842/818959/834469/826752/836612/837504/828427/824893/816859/842449/817197/824311/815864/843810/816381/830058/841604/836613/832474",60
"GO:1901659","glycosyl compound biosynthetic process","17/1109","54/13222",0.314814814814815,3.75336472631333,6.13440976281241,1.0589482198152e-06,0.000109989421764806,0.000100098473830953,"838211/827011/830662/826811/843749/832365/825068/831270/821508/842553/818912/836263/842897/836210/838210/830663/844013",17
"GO:0098754","detoxification","27/1109","118/13222",0.228813559322034,2.72801882899543,5.70505189021233,1.16803976726964e-06,0.000113737872337881,0.000103509839902119,"843329/844174/820083/823555/843799/844169/814946/844173/838288/836368/821227/842203/827931/817496/6241480/838544/838084/814938/842120/814943/817495/829035/839295/834428/814939/840172/814822",27
"GO:0016143","S-glycoside metabolic process","23/1109","93/13222",0.247311827956989,2.94856356108865,5.70574415455871,1.72513296092952e-06,0.000149319841840455,0.000135892052536378,"838211/827011/830662/826811/843749/832365/825068/831270/821508/842553/818912/836263/821201/842897/825182/836210/832525/838210/841670/820639/830663/844013/837817",23
"GO:0019760","glucosinolate metabolic process","23/1109","93/13222",0.247311827956989,2.94856356108865,5.70574415455871,1.72513296092952e-06,0.000149319841840455,0.000135892052536378,"838211/827011/830662/826811/843749/832365/825068/831270/821508/842553/818912/836263/821201/842897/825182/836210/832525/838210/841670/820639/830663/844013/837817",23
"GO:0071456","cellular response to hypoxia","39/1109","213/13222",0.183098591549296,2.18298428986906,5.26646120279362,2.55409443066498e-06,0.000201589697697174,0.000183461470710151,"839183/824140/3766886/817115/817780/835537/818588/823751/837551/836103/835855/832801/841843/838410/835535/839883/843325/839180/5008138/829559/836614/843192/828733/818231/838508/834244/827971/838016/829927/833550/822119/819622/837098/816859/817197/842139/843997/821826/841797",39
"GO:0009636","response to toxic substance","29/1109","137/13222",0.211678832116788,2.52373085504795,5.42442550282746,2.58780099739633e-06,0.000201589697697174,0.000183461470710151,"843329/844174/820083/828460/823555/843799/844169/835515/814946/844173/838288/836368/821227/842203/827931/817496/6241480/838544/838084/814938/842120/814943/817495/829035/839295/834428/814939/840172/814822",29
"GO:0036294","cellular response to decreased oxygen levels","39/1109","215/13222",0.181395348837209,2.16267745926563,5.200702124499,3.23636415243458e-06,0.000229193424976958,0.000208582895374611,"839183/824140/3766886/817115/817780/835537/818588/823751/837551/836103/835855/832801/841843/838410/835535/839883/843325/839180/5008138/829559/836614/843192/828733/818231/838508/834244/827971/838016/829927/833550/822119/819622/837098/816859/817197/842139/843997/821826/841797",39
"GO:0071453","cellular response to oxygen levels","39/1109","215/13222",0.181395348837209,2.16267745926563,5.200702124499,3.23636415243458e-06,0.000229193424976958,0.000208582895374611,"839183/824140/3766886/817115/817780/835537/818588/823751/837551/836103/835855/832801/841843/838410/835535/839883/843325/839180/5008138/829559/836614/843192/828733/818231/838508/834244/827971/838016/829927/833550/822119/819622/837098/816859/817197/842139/843997/821826/841797",39
"GO:0006749","glutathione metabolic process","15/1109","47/13222",0.319148936170213,3.80503808299599,5.82887102732223,3.75409141453487e-06,0.000254298887993275,0.000231430715577962,"843329/844174/820083/843799/844169/844173/838288/836368/821227/827931/817496/838544/817495/839295/814822",15
"GO:0009415","response to water","62/1109","415/13222",0.149397590361446,1.78118569861049,4.8924533646121,5.14959753273659e-06,0.000334294706500151,0.000304232801605096,"832636/818854/830662/836838/832365/824510/844174/816092/833998/3768804/819731/838896/823850/836702/839815/821225/837082/839235/818353/815949/821495/842010/837455/822453/829684/818457/819332/833704/837602/818566/825316/840058/818435/843129/833862/821904/818294/822391/830471/818293/822298/818166/819562/834244/831453/839304/823563/841670/818604/828053/818414/830663/817901/838122/814714/818458/837817/829571/836051/818722/836050/832474",62
"GO:0009625","response to insect","13/1109","38/13222",0.342105263157895,4.07873380475535,5.75059004932272,7.0227130794099e-06,0.000437655479108825,0.000398298716545901,"838211/827011/830662/832365/836263/832546/822298/841670/828053/834469/820639/830663/843748",13
"GO:0001666","response to hypoxia","41/1109","239/13222",0.171548117154812,2.04527430569966,4.93416608648595,7.72211986367621e-06,0.00046273318260029,0.000421121273537322,"839183/824140/3766886/817115/817780/835537/818588/823751/837551/836103/835855/832801/841843/838410/835535/839883/843325/839180/5008138/829559/836614/843192/828733/818231/838508/834244/827971/828758/838016/829927/833550/822119/819622/837098/816859/817197/842139/843997/821826/832582/841797",41
"GO:0009414","response to water deprivation","60/1109","405/13222",0.148148148148148,1.76628928297098,4.73913563258994,9.52118318240406e-06,0.000549407533266131,0.000500001315660751,"832636/818854/830662/836838/832365/824510/844174/816092/833998/819731/838896/823850/836702/839815/821225/837082/839235/818353/815949/821495/842010/837455/822453/829684/818457/819332/833704/837602/818566/825316/840058/818435/843129/833862/821904/818294/822391/830471/818293/822298/818166/834244/831453/839304/823563/841670/818604/828053/818414/830663/817901/838122/814714/818458/837817/829571/836051/818722/836050/832474",60
"GO:0036293","response to decreased oxygen levels","41/1109","243/13222",0.168724279835391,2.01160723893917,4.81577863986349,1.16947160901433e-05,0.000650727416730116,0.000592209871181317,"839183/824140/3766886/817115/817780/835537/818588/823751/837551/836103/835855/832801/841843/838410/835535/839883/843325/839180/5008138/829559/836614/843192/828733/818231/838508/834244/827971/828758/838016/829927/833550/822119/819622/837098/816859/817197/842139/843997/821826/832582/841797",41
"GO:0070482","response to oxygen levels","41/1109","244/13222",0.168032786885246,2.0033629469763,4.78653406798467,1.29463425994061e-05,0.000695531095512922,0.000632984518381127,"839183/824140/3766886/817115/817780/835537/818588/823751/837551/836103/835855/832801/841843/838410/835535/839883/843325/839180/5008138/829559/836614/843192/828733/818231/838508/834244/827971/828758/838016/829927/833550/822119/819622/837098/816859/817197/842139/843997/821826/832582/841797",41
"GO:0009617","response to bacterium","68/1109","491/13222",0.138492871690428,1.65117470648407,4.44917078713873,2.42218025452698e-05,0.00125791894551768,0.00114479887819223,"830662/828963/828792/843326/831734/838338/838896/824073/816757/823555/838518/820264/825837/836874/829458/843406/827114/832285/836263/842988/844307/817626/826753/819130/843208/817628/818588/834545/828415/837602/832315/832801/839411/834678/844423/28720712/834768/816913/821832/831700/817388/824257/843584/838554/822298/838508/836602/822110/842405/828430/828414/840190/825139/823671/826752/828569/828427/841616/814714/836150/820669/824311/815864/840293/843810/830058/820307/843349",68
"GO:0009611","response to wounding","39/1109","235/13222",0.165957446808511,1.97861980315791,4.58000105199763,2.79517318572833e-05,0.00134225238144318,0.00122154851550839,"830662/826811/831270/821508/825291/828460/829932/824305/817210/838179/841995/839578/831241/837455/28717292/841564/832546/836103/837602/820619/840058/823994/844423/835308/843584/824582/817439/842405/835798/816553/834469/827215/830663/822119/820321/824311/839893/836613/832474",39
"GO:0071214","cellular response to abiotic stimulus","34/1109","194/13222",0.175257731958763,2.0895020125868,4.62553630423172,2.86780313884977e-05,0.00134225238144318,0.00122154851550839,"842710/818854/842218/844174/816092/816990/819292/824559/839815/835840/835926/837455/822453/834383/825754/824440/832477/818903/818027/843129/818273/822391/816671/830471/831453/823570/827842/828053/838122/814714/831218/829571/839300/832474",34
"GO:0104004","cellular response to environmental stimulus","34/1109","194/13222",0.175257731958763,2.0895020125868,4.62553630423172,2.86780313884977e-05,0.00134225238144318,0.00122154851550839,"842710/818854/842218/844174/816092/816990/819292/824559/839815/835840/835926/837455/822453/834383/825754/824440/832477/818903/818027/843129/818273/822391/816671/830471/831453/823570/827842/828053/838122/814714/831218/829571/839300/832474",34
